date,symbol,open,high,low,close,volume,sma_20,ema_50,rsi_14,bollinger_upper,bollinger_lower,macd,macd_signal
2025-04-16 20:26:49.225804,SPY,461.34,462.72,459.26,461.31,9903325,505.0575,461.31,50.0,551.25,458.86,0.0,0.0
2025-04-17 20:26:49.225804,SPY,463.83,464.18,460.74,464.05,6149255,505.0575,461.4174509803922,50.0,551.25,458.86,0.22,0.04
2025-04-18 20:26:49.225804,SPY,471.21,474.7,468.98,470.57,4261978,505.0575,461.7763744713572,50.0,551.25,458.86,0.91,0.22
2025-04-19 20:26:49.225804,SPY,484.45,486.51,485.19,485.6,8261582,505.0575,462.7106342960099,50.0,551.25,458.86,2.64,0.7
2025-04-20 20:26:49.225804,SPY,496.73,499.91,497.61,498.52,5426791,505.0575,464.1149231471468,50.0,551.25,458.86,4.99,1.56
2025-04-21 20:26:49.225804,SPY,493.08,494.29,491.21,492.0,9723735,505.0575,465.2084555727489,50.0,551.25,458.86,6.26,2.5
2025-04-22 20:26:49.225804,SPY,498.91,505.22,496.55,498.71,3043009,505.0575,466.52224162871954,50.0,551.25,458.86,7.72,3.54
2025-04-23 20:26:49.225804,SPY,498.25,504.1,490.61,497.86,2631006,505.0575,467.75117332955404,50.0,551.25,458.86,8.7,4.57
2025-04-24 20:26:49.225804,SPY,499.44,502.02,497.14,497.33,2559376,505.0575,468.91112731663037,50.0,551.25,458.86,9.33,5.53
2025-04-25 20:26:49.225804,SPY,498.31,505.57,499.4,500.36,1380747,505.0575,470.1444164414684,50.0,551.25,458.86,9.96,6.41
2025-04-26 20:26:49.225804,SPY,499.84,505.14,497.54,501.55,7084423,505.0575,471.37600795356775,50.0,551.25,458.86,10.44,7.22
2025-04-27 20:26:49.225804,SPY,514.53,517.59,505.1,511.96,8614116,505.0575,472.96753705342786,50.0,551.25,458.86,11.52,8.08
2025-04-28 20:26:49.225804,SPY,514.51,523.1,516.91,517.58,8002953,505.0575,474.71704540427385,50.0,551.25,458.86,12.69,9.0
2025-04-29 20:26:49.225804,SPY,515.94,526.82,512.17,518.65,9241905,505.0575,476.4399063688121,89.2,551.25,458.86,13.54,9.91
2025-04-30 20:26:49.225804,SPY,523.76,524.81,518.75,522.05,6858047,505.0575,478.2285374916038,89.68,551.25,458.86,14.33,10.79
2025-05-01 20:26:49.225804,SPY,525.17,525.41,520.86,524.67,6068776,505.0575,480.04977131546246,89.66,551.25,458.86,14.99,11.63
2025-05-02 20:26:49.225804,SPY,536.08,537.99,534.89,535.85,5685559,505.0575,482.2380155776012,90.26,551.25,458.86,16.23,12.55
2025-05-03 20:26:49.225804,SPY,534.34,539.01,527.35,534.53,1995715,505.0575,484.2886816333815,86.31,551.25,458.86,16.91,13.42
2025-05-04 20:26:49.225804,SPY,537.13,538.28,536.14,537.06,1672165,505.0575,486.3581450987391,83.82,551.25,458.86,17.45,14.23
2025-05-05 20:26:49.225804,SPY,530.75,538.35,530.53,530.94,9017402,505.0575,488.1064531340827,84.41,551.25,458.86,17.19,14.82
2025-05-06 20:26:49.225804,SPY,515.46,513.59,508.52,512.68,2170691,507.62600000000003,489.0701216386285,60.25,549.04,466.21,15.33,14.92
2025-05-07 20:26:49.225804,SPY,516.72,521.32,514.64,517.54,2494499,510.30049999999994,490.18658745672155,63.64,546.44,474.16,14.09,14.76
